_id,Location,Address,Type,Level2_Charging_Ports,Level3_Charging_Ports,geometry
65,1224 KING ST W ,1224 KING ST W ,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42832895, 43.63883188]]}"
66,1051 Queen Street W,1051 Queen Street W,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42049245, 43.64381707]]}"
67,273 Christie St,273 Christie St,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42108952, 43.67076049]]}"
68,283 Ossington Ave,283 Ossington Ave,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42107084, 43.65049135]]}"
69,963 Gerrard St E,963 Gerrard St E,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.33952853, 43.66828918]]}"
70,1313 Gerrard ST E,1313 Gerrard ST E,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.32649634, 43.67120772]]}"
71,1582 Queen Street East,1582 Queen Street East,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.31810005, 43.6660681]]}"
72,220 Carlaw Ave. ,220 Carlaw Ave. ,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.34049368, 43.66192256]]}"
73,1715 DUNDAS ST E,1715 DUNDAS ST E,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.32492038, 43.66761487]]}"
74,41 FULTON AVE,41 FULTON AVE,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35546835, 43.6822667]]}"
75,19 Glendora Ave,19 Glendora Ave,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40982466, 43.75922073]]}"
76,19 Glendora Ave,19 Glendora Ave,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40950253, 43.75929294]]}"
77,33 Elmhurst Ave,33 Elmhurst Ave,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.412807, 43.76281255]]}"
78,1834 Queen St E,1834 Queen St E,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3083978, 43.66825024]]}"
79,912 Kingston Road,912 Kingston Road,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2891626, 43.68044963]]}"
80,2150 Queen Street East,2150 Queen Street East,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.29199142, 43.67169034]]}"
81,2219 Gerrard Street East,2219 Gerrard Street East,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.29924287, 43.68412063]]}"
82,320 DRIFTWOOD AVE ,320 DRIFTWOOD AVE ,On-Street,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.51144681, 43.7656183]]}"
